Entity,Code,Day,daily_vaccinations
Alabama,,2021/1/13,5906
Alabama,,2021/1/14,7083
Alabama,,2021/1/15,7478
Alabama,,2021/1/16,7498
Alabama,,2021/1/17,7509
Alabama,,2021/1/18,7517
Alabama,,2021/1/19,7523
Alabama,,2021/1/20,7880
Alabama,,2021/1/21,10517
Alabama,,2021/1/22,14107
Alabama,,2021/1/23,16202
Alabama,,2021/1/24,18294
Alabama,,2021/1/25,18196
Alabama,,2021/1/26,17738
Alabama,,2021/1/27,18178
Alabama,,2021/1/28,16153
Alabama,,2021/1/29,14514
Alabama,,2021/1/30,17271
Alabama,,2021/1/31,15748
Alabama,,2021/2/1,15381
Alabama,,2021/2/2,16703
Alabama,,2021/2/3,17414
Alabama,,2021/2/4,18491
Alabama,,2021/2/5,18526
Alabama,,2021/2/6,16105
Alabama,,2021/2/7,15480
Alabama,,2021/2/8,15622
Alabama,,2021/2/9,17012
Alabama,,2021/2/10,18209
Alabama,,2021/2/11,19258
Alabama,,2021/2/12,20074
Alabama,,2021/2/13,20855
Alabama,,2021/2/14,21417
Alabama,,2021/2/15,22405
Alabama,,2021/2/16,20816
Alabama,,2021/2/17,19174
Alabama,,2021/2/18,18400
Alabama,,2021/2/19,24002
Alabama,,2021/2/20,25111
Alabama,,2021/2/21,25194
Alabama,,2021/2/22,24164
Alabama,,2021/2/23,25489
Alabama,,2021/2/24,27098
Alabama,,2021/2/25,27531
Alabama,,2021/2/26,22104
Alabama,,2021/2/27,22022
Alabama,,2021/2/28,21984
Alabama,,2021/3/1,22111
Alabama,,2021/3/2,22436
Alabama,,2021/3/3,22904
Alabama,,2021/3/4,23916
Alabama,,2021/3/5,24388
Alabama,,2021/3/6,24087
Alabama,,2021/3/7,23947
Alabama,,2021/3/8,24040
Alabama,,2021/3/9,24118
Alabama,,2021/3/10,24827
Alabama,,2021/3/11,25376
Alabama,,2021/3/12,26375
Alabama,,2021/3/13,26935
Alabama,,2021/3/14,26926
Alabama,,2021/3/15,27106
Alabama,,2021/3/16,27331
Alabama,,2021/3/17,27167
Alabama,,2021/3/18,25752
Alabama,,2021/3/19,25356
Alabama,,2021/3/20,24649
Alabama,,2021/3/21,24865
Alabama,,2021/3/22,24693
Alabama,,2021/3/23,25307
Alabama,,2021/3/24,25490
Alabama,,2021/3/25,27004
Alabama,,2021/3/26,26387
Alabama,,2021/3/27,26439
Alabama,,2021/3/28,26634
Alabama,,2021/3/29,26759
Alabama,,2021/3/30,26885
Alabama,,2021/3/31,26617
Alabama,,2021/4/1,27555
Alabama,,2021/4/2,28865
Alabama,,2021/4/3,28769
Alabama,,2021/4/4,28533
Alabama,,2021/4/5,28325
Alabama,,2021/4/6,28468
Alabama,,2021/4/7,29498
Alabama,,2021/4/8,29195
Alabama,,2021/4/9,29696
Alabama,,2021/4/10,31155
Alabama,,2021/4/11,31967
Alabama,,2021/4/12,32519
Alabama,,2021/4/13,32914
Alabama,,2021/4/14,33381
Alabama,,2021/4/15,33007
Alabama,,2021/4/16,32034
Alabama,,2021/4/17,30766
Alabama,,2021/4/18,29953
Alabama,,2021/4/19,29296
Alabama,,2021/4/20,28635
Alabama,,2021/4/21,27377
Alabama,,2021/4/22,26702
Alabama,,2021/4/23,26294
Alabama,,2021/4/24,25832
Alabama,,2021/4/25,25590
Alabama,,2021/4/26,25809
Alabama,,2021/4/27,24561
Alabama,,2021/4/28,23898
Alabama,,2021/4/29,23662
Alabama,,2021/4/30,23076
Alabama,,2021/5/1,22271
Alabama,,2021/5/2,21615
Alabama,,2021/5/3,21299
Alabama,,2021/5/4,20711
Alabama,,2021/5/5,20444
Alabama,,2021/5/6,16178
Alabama,,2021/5/7,19313
Alabama,,2021/5/8,20088
Alabama,,2021/5/9,20784
Alabama,,2021/5/10,20899
Alabama,,2021/5/11,18461
Alabama,,2021/5/12,17244
Alabama,,2021/5/13,22667
Alabama,,2021/5/14,19034
Alabama,,2021/5/15,17613
Alabama,,2021/5/16,16843
Alabama,,2021/5/17,16077
Alabama,,2021/5/18,18807
Alabama,,2021/5/19,16353
Alabama,,2021/5/20,15330
Alabama,,2021/5/21,12271
Alabama,,2021/5/22,11621
Alabama,,2021/5/23,13689
Alabama,,2021/5/24,13704
Alabama,,2021/5/25,12970
Alabama,,2021/5/26,13786
Alaska,,2021/1/13,2842
Alaska,,2021/1/14,3379
Alaska,,2021/1/15,4400
Alaska,,2021/1/16,4381
Alaska,,2021/1/17,4369
Alaska,,2021/1/18,4362
Alaska,,2021/1/19,4356
Alaska,,2021/1/20,4230
Alaska,,2021/1/21,4187
Alaska,,2021/1/22,4580
Alaska,,2021/1/23,4997
Alaska,,2021/1/24,5225
Alaska,,2021/1/25,5003
Alaska,,2021/1/26,4545
Alaska,,2021/1/27,4758
Alaska,,2021/1/28,4850
Alaska,,2021/1/29,4186
